variant,variant_label,label,fit_max,rho,delta,direction_cosine,direction_abs_cosine,self_projection_corr_fit,self_projection_corr_all,baseline_transfer_corr_fit,baseline_transfer_corr_all
a_comma,a + comma,resid_post.layer16,24,0.7915937304496765,2.9650614261627197,1.0,1.0,1.0,0.8666976094245911,1.0,0.8666976690292358
a_comma,a + comma,resid_post.layer31,24,0.781327486038208,1.9972898960113525,1.0,1.0,1.0,0.7127813696861267,1.0,0.7127813100814819
a_comma,a + comma,resid_post.layer40,24,0.882434606552124,0.9309117794036865,1.0,1.0,1.0,0.5904233455657959,1.0,0.5904233455657959
a_comma,a + comma,resid_post.layer53,24,0.8734171986579895,0.6502768993377686,1.0000001192092896,1.0000001192092896,1.0,0.41389599442481995,1.0000001192092896,0.41389599442481995
a_pipe,a + pipe,resid_post.layer16,16,0.7678414583206177,2.5200417041778564,0.6134743094444275,0.6134743094444275,1.0,0.8026020526885986,0.9043874144554138,0.8551687002182007
a_pipe,a + pipe,resid_post.layer31,16,0.6790539026260376,2.2607309818267822,0.6606141924858093,0.6606141924858093,1.0,0.6193954348564148,0.9924630522727966,0.6784858107566833
a_pipe,a + pipe,resid_post.layer40,16,0.8339870572090149,0.8124491572380066,0.6478840112686157,0.6478840112686157,1.0,0.44715023040771484,0.9880369901657104,0.5558816194534302
a_pipe,a + pipe,resid_post.layer53,16,0.7373136878013611,0.7545354962348938,0.6279140710830688,0.6279140710830688,1.0,0.2536085247993469,0.9863865971565247,0.36414894461631775
a_section,a + section,resid_post.layer16,18,0.79701167345047,2.4247336387634277,0.6044585704803467,0.6044585704803467,1.0,0.8188202977180481,0.9115059971809387,0.8535653352737427
a_section,a + section,resid_post.layer31,18,0.7147606611251831,1.9219324588775635,0.6212799549102783,0.6212799549102783,1.0,0.5813094973564148,0.9695669412612915,0.6076363325119019
a_section,a + section,resid_post.layer40,18,0.7042261362075806,1.4002866744995117,0.6492810249328613,0.6492810249328613,0.9999999403953552,0.360506147146225,0.9648444652557373,0.41571560502052307
a_section,a + section,resid_post.layer53,18,0.65017169713974,0.9693959951400757,0.56865394115448,0.56865394115448,0.9999999403953552,0.20235778391361237,0.937294602394104,0.24813677370548248
a_space,a + space,resid_post.layer16,11,0.6409329771995544,3.3897204399108887,0.3143916130065918,0.3143916130065918,1.0,0.7477415800094604,0.7986308932304382,0.7818040251731873
a_space,a + space,resid_post.layer31,11,0.6570769548416138,2.378890037536621,0.20519095659255981,0.20519095659255981,0.9999999403953552,0.7259066104888916,0.8354948163032532,0.566599428653717
a_space,a + space,resid_post.layer40,11,0.8556787371635437,1.0475585460662842,0.14076173305511475,0.14076173305511475,1.0,0.7511075139045715,0.4159364700317383,0.24591444432735443
a_space,a + space,resid_post.layer53,11,0.39501017332077026,1.7274997234344482,0.10378935933113098,0.10378935933113098,1.0,0.44994357228279114,0.27342844009399414,0.08700887113809586
aa_comma,aa + comma,resid_post.layer16,24,0.8230023980140686,2.682276964187622,0.9358458518981934,0.9358458518981934,1.0,0.879575788974762,0.9779323935508728,0.8563022613525391
aa_comma,aa + comma,resid_post.layer31,24,0.7850778698921204,1.9835727214813232,0.8799351453781128,0.8799351453781128,1.0,0.720789909362793,0.9375267028808594,0.6215718984603882
aa_comma,aa + comma,resid_post.layer40,24,0.86037677526474,1.0148483514785767,0.7295136451721191,0.7295136451721191,1.0,0.6016408205032349,0.80450838804245,0.45230531692504883
aa_comma,aa + comma,resid_post.layer53,24,0.8776329159736633,0.6851998567581177,0.5394875407218933,0.5394875407218933,1.0,0.5019508600234985,0.9471030235290527,0.3924442231655121
